"id","category","question","answer","difficulty","tags"
"1","Fundamentals","What is Static Timing Analysis (STA) in VLSI?","Static Timing Analysis (STA) is a simulation method used to verify the timing of a digital circuit without requiring dynamic simulation. It checks whether the circuit meets its timing constraints by analyzing all possible paths through the circuit for setup and hold time violations.","Beginner","STA, timing, VLSI basics"
"2","Fundamentals","What are the two main types of power dissipation in CMOS circuits?","The two main types of power dissipation in CMOS circuits are: (1) Dynamic power – caused by switching activity (charging/discharging of capacitances) and short-circuit current; (2) Static (Leakage) power – caused by subthreshold leakage current, gate oxide leakage, and junction leakage when the circuit is idle.","Beginner","power, CMOS, dynamic power, static power"
"3","Fundamentals","What is the formula for dynamic power consumption in CMOS?","Dynamic power = α × C × V_DD² × f  where α is the activity factor (probability of switching), C is the total capacitance, V_DD is the supply voltage and f is the clock frequency.","Beginner","dynamic power, formula, CMOS"
"4","Fundamentals","What is setup time in STA?","Setup time is the minimum amount of time the data input must be stable before the active clock edge arrives at a flip-flop so that the data is correctly captured. A setup time violation means data arrives too late relative to the clock edge.","Beginner","setup time, flip-flop, STA"
"5","Fundamentals","What is hold time in STA?","Hold time is the minimum amount of time the data input must remain stable after the active clock edge for the flip-flop to reliably capture the data. A hold time violation means data changes too quickly after the clock edge.","Beginner","hold time, flip-flop, STA"
"6","Power Reduction Techniques","What is clock gating and how does it save power?","Clock gating is a technique where the clock signal to a register or block is disabled when the block is not performing useful computation. By preventing unnecessary clock switching it eliminates dynamic power due to clock tree switching and the toggling of registers. It is one of the most effective dynamic power reduction methods.","Intermediate","clock gating, dynamic power, low power"
"7","Power Reduction Techniques","What is the impact of clock gating on STA?","Clock gating introduces additional logic (e.g. AND/OR gate latch) in the clock path. STA must verify that: (1) the enable signal meets setup/hold timing relative to the clock at the gating cell; (2) the gated clock meets downstream timing requirements. Tools model clock gating cells explicitly.","Intermediate","clock gating, STA, timing"
"8","Power Reduction Techniques","What is operand isolation in low-power design?","Operand isolation is a technique where combinational logic blocks whose outputs are not needed in a given cycle are isolated using gating logic (e.g. an AND gate with an enable) to prevent unnecessary switching. This reduces the activity factor (α) and thus dynamic power without gating the clock.","Intermediate","operand isolation, dynamic power, activity factor"
"9","Power Reduction Techniques","What is Multi-Threshold CMOS (MTCMOS) and how does it save power?","MTCMOS uses transistors with multiple threshold voltages (Vt) in the same design: high-Vt (HVt) cells have low leakage but are slower; low-Vt (LVt) cells are fast but have high leakage. By using HVt cells on non-critical paths and LVt cells only on timing-critical paths, total leakage power is reduced while still meeting timing.","Intermediate","multi-Vt, MTCMOS, leakage power, STA"
"10","Power Reduction Techniques","How does Vt swapping help in reducing power in STA-driven flows?","During ECO (Engineering Change Order) or optimization, cells on paths with positive slack (non-critical paths) are swapped to higher-Vt variants to reduce leakage. STA is run after each swap to confirm timing is still met. This iterative Vt swapping is a common signoff power reduction technique.","Intermediate","Vt swapping, leakage, ECO, STA"
"11","Power Reduction Techniques","What is power gating in VLSI?","Power gating is a technique where an entire block's power supply is switched off when it is idle using special header (PMOS) or footer (NMOS) transistors called power switches. This virtually eliminates leakage current in idle blocks. Wake-up latency and rush current must be carefully managed.","Advanced","power gating, leakage, power domains"
"12","Power Reduction Techniques","What are isolation cells and why are they needed in power gating?","When a power-gated block drives signals to always-on blocks the outputs of the gated block become undefined (X or floating) when power is off. Isolation cells clamp these outputs to a known logic level (0 or 1) to prevent the always-on logic from receiving and propagating X values. They are placed at the boundary of the power domain.","Advanced","isolation cells, power gating, power domains"
"13","Power Reduction Techniques","What is a retention register and when is it used?","A retention register is a special flip-flop with a small shadow latch powered by an always-on supply. Before power gating a block the state is saved into the shadow latch; after power is restored the state is restored from it. This preserves functional state across power-off periods.","Advanced","retention register, power gating, state retention"
"14","Power Reduction Techniques","What is Dynamic Voltage and Frequency Scaling (DVFS)?","DVFS is a technique that reduces the supply voltage and clock frequency dynamically based on workload demand. Lowering voltage quadratically reduces dynamic power (P ∝ V²). STA must be run at each voltage-frequency operating point to ensure timing is met under worst-case conditions for that corner.","Advanced","DVFS, voltage scaling, dynamic power"
"15","Power Reduction Techniques","How does reducing supply voltage affect timing in STA?","Reducing supply voltage slows transistor switching speeds, increasing propagation delays on all paths. In STA this means path delays increase, potentially causing setup violations. Hold time margin generally improves at lower voltage. Timing must be verified at each target voltage using appropriate timing libraries characterized for that voltage.","Advanced","voltage reduction, timing, STA"
"16","STA Timing Analysis for Power","What are timing corners in STA and why are they important for low-power design?","Timing corners define the process, voltage and temperature (PVT) conditions under which timing is verified. For low-power designs multiple corners must be checked: (1) slow/worst corner for setup (high leakage variants may still violate timing); (2) fast/best corner for hold; (3) leakage is highest at high temperature and low-Vt. Using correct corners ensures the design is safe across manufacturing and operating conditions.","Intermediate","PVT corners, STA, low power"
"17","STA Timing Analysis for Power","What is On-Chip Variation (OCV) and its role in STA?","OCV accounts for random manufacturing variations across different locations on the chip causing same-cell instances to have slightly different delays. In STA derating factors are applied: launch path delays are made pessimistically slow and capture path delays are made pessimistically fast (or vice versa for hold). This is critical for low-power designs where cells near their timing limits are swapped for power savings.","Advanced","OCV, derating, STA"
"18","STA Timing Analysis for Power","What is Advanced OCV (AOCV) or Parametric OCV (POCV)?","AOCV (also called distance-based OCV) and POCV reduce the pessimism of flat OCV by applying derating based on the depth and length of the timing path rather than a flat global derate. This allows more accurate analysis, less pessimism, and enables more aggressive power optimization (more cells can be swapped to HVt without artificially failing timing).","Advanced","AOCV, POCV, OCV, STA, leakage"
"19","STA Timing Analysis for Power","What is the relationship between slack and leakage power optimization?","Slack is the timing margin on a path (positive = timing met, negative = timing violated). Paths with large positive slack have headroom to use slower high-Vt cells which have lower leakage. Power optimization tools maximize leakage reduction by targeting cells with the most positive slack for Vt upswap, always constrained by not violating timing.","Intermediate","slack, leakage, Vt optimization"
"20","STA Timing Analysis for Power","What is a critical path in STA?","A critical path is the longest timing path in the circuit that determines the maximum operating frequency. It has zero or the least positive slack. For power saving cells on non-critical paths (high slack paths) are targeted for optimization while cells on critical paths are kept at low-Vt or otherwise untouched to preserve timing.","Beginner","critical path, slack, STA"
